Iteration	Global Fitness	Arrived Vehicles	Non Arrived Vehicles	Trip Time	Waiting Time
0         	2.568661       	165.0              	85.0                   	17697.0 	10453.0
1         	1.541480       	193.0              	57.0                   	21630.0 	7731.0
2         	1.476792       	193.0              	57.0                   	20145.0 	6849.0
3         	1.476792       	189.0              	61.0                   	22205.0 	8399.0
4         	1.182890       	205.0              	44.0                   	21340.0 	6782.0
5         	1.182890       	184.0              	65.0                   	20705.0 	8638.0
6         	1.182890       	184.0              	66.0                   	20045.0 	7734.0
7         	1.182890       	183.0              	67.0                   	20147.0 	7741.0
8         	1.182890       	189.0              	60.0                   	19983.0 	7036.0
9         	1.182890       	201.0              	49.0                   	20368.0 	6217.0
10        	1.182890       	194.0              	56.0                   	22097.0 	7861.0
11        	1.182890       	191.0              	58.0                   	20738.0 	7643.0
12        	1.182890       	189.0              	61.0                   	20350.0 	7239.0
13        	1.182890       	193.0              	57.0                   	20881.0 	6974.0
14        	1.182890       	188.0              	62.0                   	19845.0 	7320.0
15        	1.182890       	190.0              	59.0                   	21788.0 	7902.0
16        	1.182890       	191.0              	59.0                   	20895.0 	7253.0
17        	1.182890       	195.0              	55.0                   	21062.0 	7787.0
18        	1.182890       	190.0              	58.0                   	20654.0 	7157.0
19        	1.182890       	189.0              	61.0                   	21080.0 	7906.0
20        	1.182890       	183.0              	66.0                   	22377.0 	9267.0
21        	1.182890       	191.0              	58.0                   	20109.0 	7094.0
22        	1.182890       	183.0              	67.0                   	23745.0 	10807.0
23        	1.182890       	194.0              	54.0                   	21216.0 	8170.0
24        	1.182890       	198.0              	51.0                   	20394.0 	6257.0
25        	1.182890       	191.0              	57.0                   	20189.0 	7006.0
26        	1.158832       	202.0              	47.0                   	18999.0 	5191.0
27        	1.158832       	194.0              	56.0                   	21003.0 	7667.0
28        	1.158832       	186.0              	63.0                   	21798.0 	8074.0
29        	1.158832       	194.0              	56.0                   	20227.0 	6830.0
30        	1.158832       	199.0              	50.0                   	21697.0 	7249.0
31        	1.158832       	197.0              	53.0                   	23271.0 	9057.0
32        	1.158832       	194.0              	55.0                   	21786.0 	7445.0
33        	1.158832       	184.0              	66.0                   	20721.0 	7855.0
34        	1.158832       	196.0              	52.0                   	20331.0 	6541.0
35        	1.158832       	181.0              	68.0                   	19677.0 	7376.0
36        	1.158832       	192.0              	58.0                   	20832.0 	7578.0
37        	1.158832       	186.0              	64.0                   	19956.0 	7661.0
38        	1.158832       	195.0              	55.0                   	20584.0 	7070.0
39        	1.158832       	178.0              	71.0                   	21008.0 	8631.0
40        	1.158832       	193.0              	55.0                   	22071.0 	7977.0
41        	1.158832       	189.0              	61.0                   	21267.0 	8046.0
42        	1.158832       	194.0              	55.0                   	21413.0 	7417.0
43        	1.158832       	185.0              	64.0                   	20246.0 	7568.0
44        	1.158832       	193.0              	56.0                   	21657.0 	7936.0
45        	1.158832       	174.0              	76.0                   	19024.0 	9410.0
46        	1.158832       	181.0              	68.0                   	20014.0 	8092.0
47        	1.158832       	183.0              	67.0                   	19579.0 	7816.0
48        	1.158832       	197.0              	53.0                   	22204.0 	7954.0
49        	1.158832       	188.0              	61.0                   	21002.0 	7610.0
50        	1.158832       	189.0              	60.0                   	20808.0 	7919.0
51        	1.158832       	185.0              	63.0                   	20334.0 	7785.0
52        	1.158832       	185.0              	64.0                   	20525.0 	7566.0
53        	1.158832       	187.0              	63.0                   	21574.0 	8858.0
54        	1.158832       	183.0              	66.0                   	19494.0 	7416.0
55        	1.158832       	185.0              	64.0                   	21476.0 	8632.0
56        	1.158832       	194.0              	56.0                   	21073.0 	7652.0
57        	1.158832       	186.0              	64.0                   	21543.0 	8471.0
58        	1.158832       	188.0              	62.0                   	22989.0 	9633.0
59        	1.158832       	189.0              	61.0                   	20660.0 	7708.0
60        	1.158832       	201.0              	48.0                   	21257.0 	6798.0
61        	1.158832       	194.0              	55.0                   	21494.0 	7792.0
