Iteration	Global Fitness	Arrived Vehicles	Non Arrived Vehicles	Trip Time	Waiting Time
0         	2.320070       	170.0              	78.0                   	19759.0 	8994.0
1         	1.950219       	180.0              	69.0                   	21020.0 	8258.0
2         	1.738520       	185.0              	63.0                   	20725.0 	7872.0
3         	1.738520       	177.0              	73.0                   	22065.0 	11182.0
4         	1.738520       	163.0              	86.0                   	18090.0 	10364.0
5         	1.738520       	166.0              	83.0                   	20181.0 	11037.0
6         	1.738520       	171.0              	77.0                   	20353.0 	10548.0
7         	1.738520       	172.0              	77.0                   	20708.0 	11217.0
8         	1.738520       	159.0              	86.0                   	19404.0 	13363.0
9         	1.738520       	180.0              	69.0                   	19659.0 	8442.0
10        	1.738520       	186.0              	64.0                   	21078.0 	8684.0
11        	1.738520       	165.0              	85.0                   	20353.0 	12225.0
12        	1.738520       	177.0              	73.0                   	19777.0 	9407.0
13        	1.738520       	182.0              	67.0                   	19689.0 	8507.0
14        	1.738520       	165.0              	84.0                   	18966.0 	11875.0
15        	1.738520       	176.0              	74.0                   	18864.0 	8512.0
16        	1.738520       	175.0              	75.0                   	19407.0 	9039.0
17        	1.738520       	168.0              	81.0                   	19578.0 	9894.0
18        	1.738520       	178.0              	71.0                   	20380.0 	10947.0
19        	1.738520       	165.0              	85.0                   	19156.0 	10436.0
20        	1.738520       	184.0              	66.0                   	19820.0 	7559.0
21        	1.738520       	168.0              	81.0                   	20688.0 	10800.0
22        	1.442599       	195.0              	54.0                   	20882.0 	7477.0
23        	1.442599       	190.0              	60.0                   	20502.0 	7100.0
24        	1.442599       	176.0              	74.0                   	19700.0 	9136.0
25        	1.442599       	185.0              	65.0                   	21189.0 	8280.0
26        	1.442599       	172.0              	77.0                   	20875.0 	10670.0
27        	1.442599       	167.0              	82.0                   	19550.0 	10849.0
28        	1.442599       	170.0              	80.0                   	20250.0 	10908.0
29        	1.442599       	168.0              	82.0                   	20650.0 	11565.0
30        	1.442599       	177.0              	73.0                   	20652.0 	9582.0
31        	1.442599       	180.0              	70.0                   	20032.0 	8587.0
32        	1.442599       	182.0              	68.0                   	21238.0 	9733.0
33        	1.442599       	161.0              	88.0                   	18257.0 	11503.0
34        	1.442599       	181.0              	67.0                   	22365.0 	11274.0
35        	1.442599       	183.0              	66.0                   	20028.0 	8355.0
36        	1.442599       	186.0              	64.0                   	21810.0 	8921.0
