Iteration	Global Fitness	Arrived Vehicles	Non Arrived Vehicles	Trip Time	Waiting Time
0         	2.058036       	178.0              	72.0                   	20736.0 	9016.0
1         	1.739466       	185.0              	63.0                   	20371.0 	8123.0
2         	1.739466       	177.0              	72.0                   	19963.0 	9528.0
3         	1.611013       	186.0              	63.0                   	18423.0 	6239.0
4         	1.611013       	182.0              	67.0                   	19886.0 	8540.0
5         	1.611013       	179.0              	71.0                   	22049.0 	10185.0
6         	1.611013       	188.0              	60.0                   	20320.0 	7565.0
7         	1.611013       	159.0              	87.0                   	17545.0 	11443.0
8         	1.611013       	177.0              	72.0                   	21405.0 	9971.0
9         	1.611013       	187.0              	63.0                   	18783.0 	6653.0
10        	1.611013       	184.0              	65.0                   	19254.0 	8238.0
11        	1.611013       	176.0              	74.0                   	20887.0 	9773.0
12        	1.611013       	179.0              	71.0                   	18874.0 	7797.0
13        	1.611013       	178.0              	71.0                   	18716.0 	7743.0
14        	1.611013       	186.0              	64.0                   	22290.0 	9055.0
15        	1.408525       	199.0              	51.0                   	22287.0 	8372.0
16        	1.408525       	184.0              	65.0                   	20587.0 	9312.0
17        	1.408525       	194.0              	55.0                   	20760.0 	7082.0
18        	1.408525       	171.0              	78.0                   	19263.0 	9784.0
19        	1.408525       	189.0              	61.0                   	18836.0 	6071.0
20        	1.408525       	182.0              	66.0                   	21053.0 	8395.0
21        	1.408525       	193.0              	57.0                   	19109.0 	6212.0
22        	1.408525       	181.0              	69.0                   	19889.0 	8492.0
23        	1.408525       	171.0              	79.0                   	20093.0 	10873.0
24        	1.408525       	172.0              	78.0                   	19662.0 	9845.0
25        	1.408525       	180.0              	70.0                   	19159.0 	8125.0
26        	1.408525       	174.0              	76.0                   	19766.0 	9086.0
27        	1.408525       	186.0              	62.0                   	19095.0 	6465.0
28        	1.408525       	186.0              	63.0                   	21809.0 	9462.0
29        	1.408525       	179.0              	70.0                   	17769.0 	7227.0
30        	1.408525       	171.0              	78.0                   	21391.0 	11502.0
31        	1.408525       	177.0              	73.0                   	20708.0 	9747.0
32        	1.408525       	176.0              	73.0                   	21442.0 	9902.0
