Iteration	Global Fitness	Arrived Vehicles	Non Arrived Vehicles	Trip Time	Waiting Time
0         	1.271206       	195.0              	55.0                   	17483.0 	3692.0
1         	1.271206       	173.0              	77.0                   	20441.0 	11316.0
2         	1.271206       	180.0              	69.0                   	20577.0 	8970.0
3         	1.271206       	175.0              	74.0                   	20829.0 	10039.0
4         	1.271206       	188.0              	62.0                   	19803.0 	7277.0
5         	1.271206       	168.0              	80.0                   	18790.0 	10094.0
6         	1.271206       	177.0              	71.0                   	19375.0 	9712.0
7         	1.271206       	188.0              	62.0                   	18722.0 	7060.0
8         	1.271206       	192.0              	58.0                   	21496.0 	8634.0
9         	1.271206       	172.0              	77.0                   	17007.0 	7975.0
10        	1.271206       	187.0              	62.0                   	20861.0 	7715.0
11        	1.271206       	178.0              	71.0                   	19137.0 	8950.0
12        	1.271206       	184.0              	66.0                   	19359.0 	8948.0
13        	1.271206       	180.0              	70.0                   	20368.0 	9327.0
14        	1.271206       	190.0              	60.0                   	19504.0 	7376.0
15        	1.271206       	168.0              	82.0                   	20292.0 	11219.0
16        	1.271206       	180.0              	70.0                   	18283.0 	7502.0
17        	1.271206       	181.0              	68.0                   	19757.0 	7910.0
18        	1.271206       	172.0              	76.0                   	19957.0 	10699.0
19        	1.271206       	174.0              	75.0                   	18619.0 	8634.0
20        	1.271206       	177.0              	71.0                   	20038.0 	9611.0
21        	1.271206       	175.0              	73.0                   	20034.0 	8896.0
22        	1.271206       	178.0              	71.0                   	19146.0 	8752.0
23        	1.271206       	176.0              	73.0                   	19724.0 	8880.0
24        	1.271206       	189.0              	61.0                   	18705.0 	6231.0
25        	1.271206       	186.0              	63.0                   	19388.0 	7853.0
26        	1.271206       	179.0              	69.0                   	18842.0 	7765.0
27        	1.271206       	182.0              	68.0                   	20173.0 	8319.0
28        	1.271206       	170.0              	77.0                   	19106.0 	10734.0
29        	1.271206       	184.0              	66.0                   	20293.0 	8144.0
30        	1.271206       	188.0              	61.0                   	19966.0 	8016.0
31        	1.271206       	191.0              	57.0                   	21624.0 	8431.0
32        	1.271206       	179.0              	70.0                   	19478.0 	8767.0
33        	1.271206       	173.0              	75.0                   	19200.0 	9810.0
34        	1.271206       	184.0              	65.0                   	17578.0 	6819.0
35        	1.271206       	185.0              	64.0                   	21156.0 	8957.0
36        	1.271206       	162.0              	87.0                   	17836.0 	11130.0
37        	1.271206       	167.0              	82.0                   	17418.0 	9865.0
38        	1.271206       	172.0              	77.0                   	19402.0 	11516.0
39        	1.271206       	171.0              	79.0                   	18741.0 	10158.0
40        	1.271206       	174.0              	76.0                   	20313.0 	9903.0
41        	1.271206       	168.0              	80.0                   	19394.0 	11782.0
42        	1.271206       	181.0              	65.0                   	20532.0 	8953.0
43        	1.271206       	175.0              	73.0                   	19314.0 	9005.0
44        	1.271206       	177.0              	73.0                   	19582.0 	8797.0
45        	1.271206       	183.0              	65.0                   	19892.0 	8866.0
46        	1.271206       	177.0              	73.0                   	18174.0 	8091.0
47        	1.271206       	153.0              	92.0                   	17975.0 	12971.0
48        	1.271206       	190.0              	59.0                   	20730.0 	8227.0
49        	1.271206       	175.0              	74.0                   	18934.0 	8783.0
50        	1.271206       	189.0              	60.0                   	20405.0 	7896.0
51        	1.271206       	182.0              	68.0                   	19846.0 	9686.0
52        	1.271206       	186.0              	64.0                   	18899.0 	7076.0
53        	1.271206       	180.0              	69.0                   	21427.0 	9344.0
54        	1.271206       	189.0              	60.0                   	21245.0 	8398.0
55        	1.271206       	177.0              	72.0                   	19634.0 	9458.0
56        	1.271206       	191.0              	59.0                   	20181.0 	7257.0
57        	1.271206       	177.0              	73.0                   	19694.0 	9537.0
58        	1.271206       	180.0              	69.0                   	20046.0 	8913.0
59        	1.271206       	171.0              	79.0                   	18869.0 	10719.0
60        	1.271206       	169.0              	79.0                   	19497.0 	10781.0
61        	1.271206       	173.0              	77.0                   	20014.0 	9882.0
62        	1.271206       	184.0              	65.0                   	19677.0 	7563.0
63        	1.271206       	169.0              	81.0                   	20096.0 	10972.0
64        	1.271206       	161.0              	89.0                   	18848.0 	10622.0
65        	1.271206       	178.0              	72.0                   	18539.0 	8511.0
66        	1.271206       	187.0              	62.0                   	20526.0 	8286.0
67        	1.271206       	189.0              	60.0                   	19511.0 	6723.0
68        	1.271206       	180.0              	66.0                   	18165.0 	8797.0
69        	1.271206       	178.0              	72.0                   	18112.0 	7815.0
70        	1.271206       	157.0              	89.0                   	19376.0 	13440.0
71        	1.271206       	176.0              	73.0                   	19492.0 	9165.0
72        	1.271206       	191.0              	59.0                   	19564.0 	7038.0
73        	1.271206       	170.0              	79.0                   	18467.0 	10200.0
74        	1.271206       	145.0              	103.0                  	17857.0 	14904.0
75        	1.271206       	176.0              	74.0                   	18463.0 	8027.0
76        	1.271206       	170.0              	78.0                   	18207.0 	9169.0
77        	1.271206       	173.0              	77.0                   	19414.0 	9512.0
78        	1.271206       	185.0              	64.0                   	20194.0 	7996.0
79        	1.271206       	175.0              	73.0                   	18441.0 	8274.0
80        	1.271206       	181.0              	68.0                   	20589.0 	10299.0
81        	1.271206       	185.0              	65.0                   	20633.0 	8625.0
82        	1.271206       	170.0              	80.0                   	17798.0 	9746.0
83        	1.271206       	164.0              	85.0                   	18798.0 	11195.0
84        	1.271206       	185.0              	64.0                   	18475.0 	7463.0
85        	1.271206       	194.0              	55.0                   	20389.0 	8249.0
86        	1.271206       	172.0              	78.0                   	19623.0 	10147.0
87        	1.271206       	177.0              	72.0                   	19640.0 	8746.0
88        	1.271206       	164.0              	84.0                   	18562.0 	11055.0
89        	1.271206       	180.0              	69.0                   	18630.0 	8880.0
90        	1.271206       	170.0              	79.0                   	21229.0 	11335.0
91        	1.271206       	177.0              	73.0                   	17857.0 	7847.0
92        	1.271206       	170.0              	77.0                   	18542.0 	10016.0
93        	1.271206       	171.0              	78.0                   	18994.0 	10615.0
94        	1.271206       	181.0              	69.0                   	21135.0 	10169.0
95        	1.271206       	174.0              	76.0                   	19518.0 	9364.0
96        	1.271206       	178.0              	72.0                   	18296.0 	8049.0
97        	1.271206       	157.0              	90.0                   	16190.0 	10887.0
98        	1.271206       	166.0              	82.0                   	17761.0 	11284.0
99        	1.271206       	173.0              	76.0                   	18680.0 	9122.0
100       	1.271206       	157.0              	92.0                   	17826.0 	12239.0
101       	1.271206       	173.0              	77.0                   	20637.0 	10936.0
102       	1.271206       	176.0              	73.0                   	19930.0 	9283.0
103       	1.271206       	175.0              	75.0                   	18288.0 	8245.0
104       	1.271206       	186.0              	63.0                   	19694.0 	7937.0
105       	1.271206       	181.0              	68.0                   	20202.0 	9593.0
106       	1.271206       	171.0              	79.0                   	18609.0 	9642.0
107       	1.271206       	163.0              	84.0                   	18967.0 	12063.0
108       	1.271206       	181.0              	67.0                   	17988.0 	8003.0
109       	1.271206       	179.0              	71.0                   	19360.0 	9072.0
110       	1.271206       	190.0              	58.0                   	18711.0 	6535.0
111       	1.271206       	169.0              	81.0                   	18080.0 	9002.0
112       	1.271206       	171.0              	77.0                   	19136.0 	10249.0
113       	1.271206       	179.0              	71.0                   	18268.0 	7872.0
114       	1.271206       	180.0              	69.0                   	21298.0 	9524.0
115       	1.271206       	164.0              	86.0                   	18697.0 	10883.0
116       	1.271206       	168.0              	82.0                   	19749.0 	11223.0
117       	1.271206       	160.0              	87.0                   	16282.0 	10005.0
118       	1.271206       	182.0              	68.0                   	19609.0 	7722.0
119       	1.271206       	184.0              	65.0                   	20621.0 	7897.0
120       	1.271206       	168.0              	82.0                   	18165.0 	10403.0
121       	1.271206       	163.0              	87.0                   	18159.0 	11233.0
122       	1.271206       	180.0              	69.0                   	19897.0 	8104.0
123       	1.271206       	177.0              	72.0                   	18100.0 	7834.0
124       	1.271206       	173.0              	76.0                   	20746.0 	10629.0
125       	1.271206       	176.0              	73.0                   	18373.0 	7659.0
126       	1.271206       	186.0              	63.0                   	18495.0 	6911.0
127       	1.271206       	177.0              	73.0                   	19993.0 	9962.0
128       	1.271206       	183.0              	67.0                   	19447.0 	8248.0
129       	1.271206       	191.0              	59.0                   	19498.0 	7427.0
130       	1.271206       	179.0              	69.0                   	19124.0 	9194.0
131       	1.271206       	183.0              	66.0                   	18936.0 	7459.0
132       	1.271206       	194.0              	54.0                   	20342.0 	6962.0
133       	1.271206       	184.0              	65.0                   	19320.0 	7381.0
134       	1.271206       	168.0              	81.0                   	19015.0 	10161.0
135       	1.271206       	171.0              	79.0                   	20525.0 	10650.0
136       	1.271206       	177.0              	69.0                   	20022.0 	9691.0
137       	1.271206       	174.0              	75.0                   	18669.0 	8643.0
138       	1.271206       	160.0              	90.0                   	19260.0 	12126.0
139       	1.271206       	194.0              	55.0                   	20491.0 	6914.0
140       	1.271206       	192.0              	58.0                   	20792.0 	7784.0
141       	1.271206       	175.0              	74.0                   	18866.0 	9439.0
142       	1.271206       	167.0              	80.0                   	18837.0 	11519.0
143       	1.271206       	190.0              	60.0                   	20286.0 	7400.0
144       	1.271206       	165.0              	84.0                   	19271.0 	11381.0
145       	1.271206       	174.0              	76.0                   	19142.0 	8862.0
146       	1.271206       	171.0              	79.0                   	19040.0 	9544.0
147       	1.271206       	185.0              	65.0                   	18427.0 	6113.0
148       	1.271206       	174.0              	76.0                   	21375.0 	9740.0
149       	1.271206       	181.0              	68.0                   	20649.0 	9709.0
150       	1.271206       	171.0              	77.0                   	20966.0 	11248.0
151       	1.271206       	167.0              	80.0                   	19474.0 	11059.0
152       	1.271206       	186.0              	63.0                   	20878.0 	8822.0
153       	1.271206       	173.0              	75.0                   	17502.0 	10109.0
154       	1.271206       	176.0              	74.0                   	18420.0 	8502.0
155       	1.271206       	176.0              	71.0                   	17976.0 	8211.0
156       	1.271206       	172.0              	78.0                   	19114.0 	9739.0
157       	1.271206       	180.0              	70.0                   	18771.0 	7229.0
158       	1.271206       	161.0              	89.0                   	19586.0 	12781.0
159       	1.271206       	172.0              	78.0                   	21588.0 	11765.0
160       	1.271206       	174.0              	74.0                   	17791.0 	8289.0
161       	1.271206       	183.0              	66.0                   	18703.0 	7561.0
162       	1.271206       	178.0              	72.0                   	18126.0 	8387.0
163       	1.271206       	160.0              	90.0                   	16055.0 	10178.0
164       	1.271206       	180.0              	68.0                   	19789.0 	9392.0
165       	1.271206       	176.0              	73.0                   	19176.0 	9863.0
166       	1.271206       	169.0              	80.0                   	20846.0 	11392.0
167       	1.271206       	172.0              	78.0                   	20734.0 	11073.0
168       	1.271206       	178.0              	72.0                   	18416.0 	9060.0
169       	1.271206       	174.0              	76.0                   	18128.0 	8514.0
170       	1.271206       	170.0              	79.0                   	18396.0 	9084.0
171       	1.271206       	176.0              	73.0                   	19607.0 	9892.0
172       	1.271206       	165.0              	85.0                   	19163.0 	10281.0
173       	1.271206       	178.0              	72.0                   	22129.0 	10109.0
174       	1.271206       	186.0              	64.0                   	18797.0 	6907.0
175       	1.271206       	178.0              	72.0                   	20563.0 	9457.0
176       	1.271206       	173.0              	77.0                   	18913.0 	8518.0
177       	1.271206       	176.0              	73.0                   	19810.0 	8843.0
178       	1.271206       	183.0              	67.0                   	18897.0 	7335.0
179       	1.271206       	172.0              	78.0                   	18059.0 	8442.0
180       	1.271206       	177.0              	73.0                   	19522.0 	9198.0
181       	1.271206       	184.0              	66.0                   	19292.0 	7752.0
182       	1.271206       	154.0              	94.0                   	18268.0 	13117.0
183       	1.271206       	177.0              	71.0                   	20090.0 	9119.0
184       	1.271206       	161.0              	88.0                   	19138.0 	12067.0
185       	1.271206       	164.0              	85.0                   	17375.0 	10118.0
