-------------------------Independent Run 1-------------------------
Iteration 0
      ,19,33,34
      ,15,17,34,30
      ,32,25,24
      ,33,14,20
      ,13,10,29

Iteration 10
      ,40,10,22
      ,28,16,30,24
      ,27,24,24
      ,20,24,32
      ,10,10,19

Iteration 20
      ,40,10,19
      ,31,16,30,24
      ,26,25,25
      ,19,25,36
      ,10,10,18

Iteration 30
      ,40,10,32
      ,27,10,29,11
      ,28,38,32
      ,25,30,38
      ,10,10,16

Iteration 40
      ,37,11,32
      ,29,10,29,10
      ,31,40,34
      ,27,30,38
      ,10,10,15

-------------------------Independent Run 2-------------------------
Iteration 0
      ,16,26,20
      ,37,32,15,20
      ,10,26,39
      ,28,23,39
      ,32,32,23

Iteration 10
      ,40,10,40
      ,10,10,13,10
      ,40,10,10
      ,10,10,10
      ,10,10,10

Iteration 20
      ,40,10,40
      ,10,10,18,10
      ,40,10,10
      ,10,10,10
      ,10,10,11

Iteration 30
      ,40,10,40
      ,10,10,15,10
      ,40,10,10
      ,10,10,10
      ,10,10,15

Iteration 40
      ,40,10,40
      ,10,10,16,10
      ,40,10,10
      ,10,10,10
      ,10,10,13

-------------------------Independent Run 3-------------------------
Iteration 0
      ,29,14,31
      ,12,20,18,30
      ,33,29,10
      ,23,14,24
      ,14,34,16

Iteration 10
      ,15,23,21
      ,26,11,26,11
      ,11,26,21
      ,40,29,10
      ,20,19,35

Iteration 20
      ,10,23,22
      ,29,10,19,10
      ,10,25,27
      ,40,26,19
      ,24,13,39

Iteration 30
      ,10,22,22
      ,30,10,23,10
      ,10,25,28
      ,40,25,21
      ,24,14,36

Iteration 40
      ,10,22,21
      ,30,10,23,10
      ,10,25,28
      ,40,24,22
      ,23,14,37

-------------------------Independent Run 4-------------------------
Iteration 0
      ,30,14,10
      ,17,38,36,33
      ,11,38,12
      ,32,32,20
      ,20,24,28

Iteration 10
      ,10,40,17
      ,40,10,33,17
      ,29,11,37
      ,40,40,40
      ,10,10,30

Iteration 20
      ,10,40,27
      ,40,10,40,10
      ,19,10,40
      ,37,40,40
      ,10,10,13

Iteration 30
      ,10,40,18
      ,40,10,30,10
      ,31,10,40
      ,39,40,40
      ,10,11,37

Iteration 40
      ,10,40,22
      ,40,10,29,10
      ,27,10,40
      ,35,40,40
      ,10,10,31

-------------------------Independent Run 5-------------------------
Iteration 0
      ,18,17,26
      ,23,12,28,23
      ,37,25,36
      ,11,26,36
      ,10,10,13

Iteration 10
      ,40,10,32
      ,40,13,40,10
      ,32,10,37
      ,14,11,33
      ,10,10,19

Iteration 20
      ,38,10,30
      ,40,11,40,10
      ,30,10,38
      ,17,11,35
      ,10,10,21

Iteration 30
      ,39,10,31
      ,40,12,40,10
      ,29,10,37
      ,16,12,32
      ,10,10,20

Iteration 40
      ,40,10,31
      ,40,11,40,10
      ,29,10,37
      ,15,12,32
      ,10,10,20

