Iteration	Metric	Mean	Std
0	fitness	1.1155748664700784	0.29465889464773576
0	global_fitness	0.7033830693804429	N/A
0	arrived_vehicles	307.5	26.526401942215983
0	non_arrived_vehicles	78.9	20.339370688396436
0	total_trip_time	33795.1	3114.5157392442247
0	total_wait_time	28656.1	3540.4036055229635
1	fitness	1.5689677872502907	0.32062156121876445
1	global_fitness	0.7033830693804429	N/A
1	arrived_vehicles	271.6	18.83188785013335
1	non_arrived_vehicles	98.9	15.06286825275983
1	total_trip_time	29890.4	3263.861369605026
1	total_wait_time	34322.4	3194.8131150350564
2	fitness	1.815837871819383	0.6057818792390798
2	global_fitness	0.7033830693804429	N/A
2	arrived_vehicles	261.4	28.548905408088764
2	non_arrived_vehicles	107.5	19.262658175859322
2	total_trip_time	28396.5	3194.846201306097
2	total_wait_time	35639.2	4414.007562295289
3	fitness	1.9454549204038174	0.38022929261400906
3	global_fitness	0.7033830693804429	N/A
3	arrived_vehicles	251.9	19.32588937151406
3	non_arrived_vehicles	112.3	14.360013927569847
3	total_trip_time	27645.3	2857.7910717895384
3	total_wait_time	37345.9	2934.548259954162
4	fitness	1.129709647604488	0.5243324621021788
4	global_fitness	0.5766171477718538	N/A
4	arrived_vehicles	309.8	39.19642840872112
4	non_arrived_vehicles	73.7	26.525647965695388
4	total_trip_time	33480.8	4363.143036848552
4	total_wait_time	28510.6	5943.388363551552
5	fitness	0.7067662180008527	0.10049136084383745
5	global_fitness	0.5352867267660026	N/A
5	arrived_vehicles	349.3	12.149485585818027
5	non_arrived_vehicles	47.8	9.754998718605759
5	total_trip_time	38011.3	654.77340355271
5	total_wait_time	23840.1	2114.4316706860027
6	fitness	0.6517989337742329	0.10791037111505589
6	global_fitness	0.4934907298004748	N/A
6	arrived_vehicles	353.1	14.48758088847134
6	non_arrived_vehicles	45.4	12.483589227461788
6	total_trip_time	36352.7	1103.6375356066865
6	total_wait_time	21497.9	1656.7208243998143
7	fitness	0.5943822374851313	0.16075283694383627
7	global_fitness	0.4545844918834504	N/A
7	arrived_vehicles	361.3	21.49441787999852
7	non_arrived_vehicles	36.3	17.74288589829738
7	total_trip_time	36965.9	1775.6684065444201
7	total_wait_time	20563.0	2555.5593516880017
8	fitness	0.6391486031749358	0.13564173484064077
8	global_fitness	0.4468342583129188	N/A
8	arrived_vehicles	355.7	18.968658360569417
8	non_arrived_vehicles	42.4	16.722440013347335
8	total_trip_time	36673.8	2041.674548011999
8	total_wait_time	21651.8	2019.0262405427027
9	fitness	0.5670321894425367	0.09080497077604245
9	global_fitness	0.44256173324063064	N/A
9	arrived_vehicles	366.9	11.344161493913951
9	non_arrived_vehicles	32.9	10.93114815561476
9	total_trip_time	38570.9	1219.8611765278868
9	total_wait_time	20870.2	1893.9501999788695
10	fitness	0.5445306333863879	0.08564832338037465
10	global_fitness	0.44256173324063064	N/A
10	arrived_vehicles	369.4	12.41933975700802
10	non_arrived_vehicles	29.8	10.703270528207723
10	total_trip_time	38543.7	1285.374346250928
10	total_wait_time	20406.0	1659.8680670462938
11	fitness	0.45903554186912415	0.03364476591123453
11	global_fitness	0.4167666876388653	N/A
11	arrived_vehicles	380.3	4.605431575867782
11	non_arrived_vehicles	19.7	4.605431575867782
11	total_trip_time	38197.7	889.7110823182995
11	total_wait_time	18424.0	959.8858265439698
12	fitness	0.4644266213912912	0.03215953872779113
12	global_fitness	0.4167666876388653	N/A
12	arrived_vehicles	379.8	4.874423042781576
12	non_arrived_vehicles	20.2	4.874423042781577
12	total_trip_time	38261.9	1142.5241747989405
12	total_wait_time	18718.7	960.0158384110129
13	fitness	0.484788472989496	0.05627567314355363
13	global_fitness	0.4167666876388653	N/A
13	arrived_vehicles	377.5	9.233092656309694
13	non_arrived_vehicles	22.4	8.946507698538017
13	total_trip_time	38531.2	1597.312918623023
13	total_wait_time	19212.7	1014.7418440174821
14	fitness	0.4815257720540508	0.05979747147671788
14	global_fitness	0.4167666876388653	N/A
14	arrived_vehicles	377.2	9.008884503644166
14	non_arrived_vehicles	22.8	9.008884503644166
14	total_trip_time	38180.1	730.6979471710591
14	total_wait_time	18761.5	899.8437919994781
15	fitness	0.451522752546783	0.023641676638913128
15	global_fitness	0.4167666876388653	N/A
15	arrived_vehicles	381.8	3.1874754901018454
15	non_arrived_vehicles	18.2	3.1874754901018454
15	total_trip_time	38477.5	662.4234672775414
15	total_wait_time	18372.8	728.8915968784385
16	fitness	0.4930718845665486	0.07336675129163639
16	global_fitness	0.4167666876388653	N/A
16	arrived_vehicles	376.6	10.239140588936163
16	non_arrived_vehicles	23.3	9.980480950335009
16	total_trip_time	38494.1	841.6645947169217
16	total_wait_time	19485.1	1443.4759748606832
17	fitness	0.456003313692838	0.0363201016339072
17	global_fitness	0.41016892038905584	N/A
17	arrived_vehicles	380.7	4.712748667179271
17	non_arrived_vehicles	19.3	4.712748667179271
17	total_trip_time	38140.8	650.3009764716642
17	total_wait_time	18361.4	1039.5579060350608
18	fitness	0.44569620463416487	0.022736727486952036
18	global_fitness	0.41016892038905584	N/A
18	arrived_vehicles	383.0	3.1304951684997055
18	non_arrived_vehicles	17.0	3.1304951684997055
18	total_trip_time	38576.2	352.54185567106776
18	total_wait_time	18430.7	593.2304864047363
19	fitness	0.4893285607123664	0.05849501524824241
19	global_fitness	0.41016892038905584	N/A
19	arrived_vehicles	374.1	9.08240056372763
19	non_arrived_vehicles	25.8	8.818163074019441
19	total_trip_time	36984.5	1147.2190069903827
19	total_wait_time	18435.0	886.0939002159986
20	fitness	0.4551258305508002	0.021528792887790204
20	global_fitness	0.41016892038905584	N/A
20	arrived_vehicles	379.7	3.0999999999999996
20	non_arrived_vehicles	20.3	3.1
20	total_trip_time	37602.8	653.4012243637136
20	total_wait_time	17997.3	657.0365362748103
21	fitness	0.46127051088125304	0.060466604958463066
21	global_fitness	0.4087165876903507	N/A
21	arrived_vehicles	379.6	8.991106717195608
21	non_arrived_vehicles	20.4	8.99110671719561
21	total_trip_time	37756.3	680.0010367639155
21	total_wait_time	18320.6	1033.73238316307
22	fitness	0.46696805148211834	0.03761885886137875
22	global_fitness	0.4087165876903507	N/A
22	arrived_vehicles	377.8	5.1536394906900505
22	non_arrived_vehicles	22.2	5.1536394906900505
22	total_trip_time	37455.6	525.0663196206742
22	total_wait_time	18142.7	880.1732840753575
23	fitness	0.4472868118895269	0.03780543791756891
23	global_fitness	0.39637323722036527	N/A
23	arrived_vehicles	381.3	4.920365840057017
23	non_arrived_vehicles	18.7	4.920365840057018
23	total_trip_time	37751.2	828.5774315053482
23	total_wait_time	17979.8	1098.2625187085282
24	fitness	0.4763829017900506	0.07576283092437938
24	global_fitness	0.39637323722036527	N/A
24	arrived_vehicles	376.8	10.4575331699211
24	non_arrived_vehicles	23.2	10.457533169921097
24	total_trip_time	37314.8	767.1703591771517
24	total_wait_time	18370.0	1507.6812660506198
25	fitness	0.46183804988594135	0.09457637403897351
25	global_fitness	0.3878018541705435	N/A
25	arrived_vehicles	378.9	13.262352732452866
25	non_arrived_vehicles	20.8	12.432216214336043
25	total_trip_time	37199.5	930.9849891378486
25	total_wait_time	18059.7	1796.4349167169958
26	fitness	0.47179176382208643	0.08931379779575009
26	global_fitness	0.3878018541705435	N/A
26	arrived_vehicles	377.4	13.350655414622908
26	non_arrived_vehicles	22.5	13.139634698118513
26	total_trip_time	37204.6	1324.9231826789053
26	total_wait_time	18130.0	1607.1528863179135
27	fitness	0.46263748284249384	0.0745445411737299
27	global_fitness	0.3878018541705435	N/A
27	arrived_vehicles	378.9	9.782126558167196
27	non_arrived_vehicles	21.1	9.782126558167196
27	total_trip_time	37429.1	475.86604207486795
27	total_wait_time	18132.1	1596.5963453547047
28	fitness	0.4114804821081231	0.020145059032102987
28	global_fitness	0.38437749046762987	N/A
28	arrived_vehicles	385.0	3.1937438845342623
28	non_arrived_vehicles	15.0	3.1937438845342623
28	total_trip_time	36873.0	603.4613492179926
28	total_wait_time	16739.1	598.9793736014622
29	fitness	0.41105285370516154	0.021838418925511364
29	global_fitness	0.38437749046762987	N/A
29	arrived_vehicles	385.8	2.9597297173897483
29	non_arrived_vehicles	14.2	2.9597297173897483
29	total_trip_time	37256.8	773.2361605615713
29	total_wait_time	16945.2	776.4461088832888
30	fitness	0.4253485244735053	0.03954095148827037
30	global_fitness	0.37939007484717774	N/A
30	arrived_vehicles	382.5	6.360031446463139
30	non_arrived_vehicles	17.5	6.360031446463139
30	total_trip_time	36572.8	805.6281772629357
30	total_wait_time	16910.3	894.035351650034
31	fitness	0.44661321173441737	0.06404380742227407
31	global_fitness	0.37939007484717774	N/A
31	arrived_vehicles	380.1	9.289241088485108
31	non_arrived_vehicles	19.9	9.289241088485108
31	total_trip_time	36842.3	663.4464635522598
31	total_wait_time	17512.1	1250.6932837430606
32	fitness	0.47108822007135503	0.05623802037060394
32	global_fitness	0.37939007484717774	N/A
32	arrived_vehicles	377.4	8.333066662399862
32	non_arrived_vehicles	22.6	8.333066662399863
32	total_trip_time	37368.5	765.7468576494454
32	total_wait_time	18306.7	1113.8571766613527
33	fitness	0.4318211101862054	0.03601052728351178
33	global_fitness	0.37939007484717774	N/A
33	arrived_vehicles	382.8	5.509990925582364
33	non_arrived_vehicles	17.2	5.509990925582365
33	total_trip_time	37244.5	788.1025631223388
33	total_wait_time	17473.2	937.6084257300594
34	fitness	0.45441448161128245	0.10224831006126138
34	global_fitness	0.3773007502821974	N/A
34	arrived_vehicles	379.3	14.588008774332431
34	non_arrived_vehicles	20.6	14.354093492798492
34	total_trip_time	36731.6	1060.4357783477508
34	total_wait_time	17518.8	1869.5193927852154
35	fitness	0.41229244121784925	0.02276057815193376
35	global_fitness	0.3773007502821974	N/A
35	arrived_vehicles	386.2	3.6
35	non_arrived_vehicles	13.8	3.6000000000000005
35	total_trip_time	37579.2	987.671078851659
35	total_wait_time	17125.5	705.1065522316468
36	fitness	0.41922060771431047	0.03131470471176471
36	global_fitness	0.3773007502821974	N/A
36	arrived_vehicles	385.1	4.3
36	non_arrived_vehicles	14.9	4.3
36	total_trip_time	37515.0	580.1999655291269
36	total_wait_time	17279.0	859.304602571172
37	fitness	0.42912551477654803	0.028478787343600247
37	global_fitness	0.3773007502821974	N/A
37	arrived_vehicles	382.9	4.036087214122113
37	non_arrived_vehicles	17.1	4.036087214122113
37	total_trip_time	37161.8	544.4876123476089
37	total_wait_time	17292.9	748.3956774327335
38	fitness	0.463473815126248	0.0822050867327126
38	global_fitness	0.3773007502821974	N/A
38	arrived_vehicles	379.2	11.097747519204066
38	non_arrived_vehicles	20.8	11.097747519204066
38	total_trip_time	37554.4	765.42330771933
38	total_wait_time	18265.6	1635.3942766195557
39	fitness	0.4746790025731288	0.15657272461482843
39	global_fitness	0.3773007502821974	N/A
39	arrived_vehicles	377.3	20.664220285314425
39	non_arrived_vehicles	21.9	18.843831882077488
39	total_trip_time	36749.8	1270.1372209332344
39	total_wait_time	17959.3	2459.08430315026
