-------------------------Independent Run 1-------------------------
Iteration 0
      ,10,10,20
      ,35,39,21,20
      ,10,39,30
      ,18,29,17
      ,10,38,14

Iteration 10
      ,25,20,31
      ,40,14,24,10
      ,16,10,10
      ,40,40,40
      ,10,16,25

Iteration 20
      ,23,20,32
      ,40,12,27,10
      ,15,10,10
      ,40,40,40
      ,10,18,23

Iteration 30
      ,40,15,34
      ,40,10,26,10
      ,10,10,10
      ,40,40,40
      ,10,12,30

Iteration 40
      ,40,12,36
      ,40,10,27,10
      ,10,10,10
      ,40,40,40
      ,10,10,31

-------------------------Independent Run 2-------------------------
Iteration 0
      ,10,10,20
      ,13,12,29,31
      ,31,28,31
      ,38,33,17
      ,12,31,34

Iteration 10
      ,10,10,11
      ,33,11,40,11
      ,40,20,10
      ,40,22,12
      ,10,16,35

Iteration 20
      ,10,10,14
      ,40,10,29,10
      ,40,23,38
      ,40,27,23
      ,18,10,40

Iteration 30
      ,10,10,17
      ,40,10,26,10
      ,40,23,37
      ,40,24,20
      ,20,10,38

Iteration 40
      ,10,10,14
      ,40,10,23,10
      ,40,14,38
      ,40,20,29
      ,20,12,39

-------------------------Independent Run 3-------------------------
Iteration 0
      ,23,37,37
      ,14,14,30,15
      ,18,10,20
      ,16,18,33
      ,29,25,32

Iteration 10
      ,10,10,33
      ,40,16,40,27
      ,11,16,20
      ,16,21,40
      ,26,25,31

Iteration 20
      ,11,10,37
      ,40,10,40,16
      ,18,12,12
      ,14,19,40
      ,34,10,40

Iteration 30
      ,10,10,40
      ,40,10,37,12
      ,19,11,10
      ,13,16,40
      ,26,10,40

Iteration 40
      ,13,10,40
      ,40,10,27,12
      ,10,10,11
      ,19,12,40
      ,20,10,40

-------------------------Independent Run 4-------------------------
Iteration 0
      ,27,23,22
      ,10,15,18,32
      ,25,25,12
      ,30,28,10
      ,25,14,20

Iteration 10
      ,22,24,16
      ,20,10,24,20
      ,31,20,22
      ,34,14,19
      ,20,10,40

Iteration 20
      ,28,20,17
      ,27,10,26,12
      ,30,27,16
      ,31,18,20
      ,20,11,33

Iteration 30
      ,21,25,30
      ,37,10,33,10
      ,25,31,19
      ,34,16,18
      ,20,10,37

Iteration 40
      ,35,18,26
      ,28,10,24,10
      ,26,23,19
      ,40,10,28
      ,10,10,36

-------------------------Independent Run 5-------------------------
Iteration 0
      ,12,29,36
      ,25,17,18,37
      ,25,13,10
      ,26,31,15
      ,14,31,18

Iteration 10
      ,21,28,40
      ,21,10,21,19
      ,40,10,10
      ,10,13,39
      ,14,10,19

Iteration 20
      ,20,27,40
      ,25,10,19,10
      ,40,10,10
      ,10,15,40
      ,10,10,15

Iteration 30
      ,22,26,40
      ,27,10,19,10
      ,40,10,10
      ,10,13,40
      ,10,10,17

Iteration 40
      ,22,27,40
      ,26,10,19,10
      ,40,10,10
      ,10,15,40
      ,10,10,15

