-------------------------Independent Run 4-------------------------
Iteration 0
      ,17,37,11
      ,15,15,19,21
      ,21,24,13
      ,30,20,10
      ,22,23,19

Iteration 10
      ,10,24,17
      ,37,10,24,15
      ,20,17,19
      ,21,40,34
      ,20,10,25

Iteration 20
      ,10,22,24
      ,34,10,26,12
      ,16,21,27
      ,19,39,34
      ,23,10,31

Iteration 30
      ,10,25,25
      ,32,10,28,10
      ,10,10,26
      ,29,40,35
      ,20,10,35

Iteration 40
      ,10,25,24
      ,33,10,27,10
      ,10,10,25
      ,30,40,33
      ,20,10,32

-------------------------Independent Run 5-------------------------
Iteration 0
      ,25,12,23
      ,23,10,36,30
      ,34,20,36
      ,33,31,14
      ,10,14,34

Iteration 10
      ,30,17,40
      ,40,10,29,10
      ,40,35,24
      ,15,10,32
      ,10,10,40

Iteration 20
      ,23,13,37
      ,40,10,28,10
      ,40,38,27
      ,13,15,33
      ,10,10,40

Iteration 30
      ,25,13,38
      ,40,10,27,10
      ,40,37,24
      ,16,10,33
      ,10,10,40

Iteration 40
      ,25,14,38
      ,40,10,28,10
      ,40,37,23
      ,18,10,35
      ,10,10,40



