-------------------------Independent Run 1-------------------------
Iteration 0
      ,21,17,17
      ,10,20,23,28
      ,32,30,33
      ,14,36,15
      ,16,37,29

Iteration 10
      ,28,38,25
      ,23,21,30,12
      ,23,33,30
      ,35,27,24
      ,30,14,32

Iteration 20
      ,20,40,28
      ,37,10,31,10
      ,26,32,29
      ,40,21,27
      ,23,10,33

Iteration 30
      ,21,40,28
      ,37,10,31,10
      ,25,31,29
      ,40,20,26
      ,23,10,34

Iteration 40
      ,17,38,33
      ,38,10,26,10
      ,35,38,37
      ,40,22,28
      ,26,10,35

-------------------------Independent Run 2-------------------------
Iteration 0
      ,32,22,26
      ,13,19,34,18
      ,23,11,21
      ,17,35,10
      ,35,29,15

Iteration 10
      ,20,21,26
      ,40,10,35,26
      ,10,20,12
      ,19,28,40
      ,10,16,40

Iteration 20
      ,20,20,27
      ,40,10,35,26
      ,10,23,13
      ,19,28,40
      ,10,15,40

Iteration 30
      ,31,26,28
      ,40,10,37,17
      ,10,15,12
      ,17,35,40
      ,10,25,40

Iteration 40
      ,28,25,28
      ,40,10,35,17
      ,10,14,10
      ,20,33,40
      ,10,24,40

