-------------------------Independent Run 1-------------------------
Iteration 0
      ,29,26,12
      ,10,35,32,35
      ,26,34,19
      ,23,33,13
      ,19,13,23

Iteration 10
      ,18,18,21
      ,24,21,30,34
      ,31,36,17
      ,25,34,18
      ,16,20,16

Iteration 20
      ,10,23,37
      ,39,11,17,19
      ,20,40,17
      ,36,40,37
      ,17,11,22

Iteration 30
      ,10,28,40
      ,40,12,18,14
      ,12,40,20
      ,35,40,40
      ,16,10,28

Iteration 40
      ,10,28,40
      ,40,12,16,14
      ,13,40,19
      ,36,40,40
      ,15,10,27

-------------------------Independent Run 2-------------------------
Iteration 0
      ,12,10,35
      ,34,21,12,18
      ,23,26,24
      ,28,28,28
      ,25,23,38

Iteration 10
      ,17,15,27
      ,37,19,11,15
      ,17,33,19
      ,38,27,37
      ,21,19,26

Iteration 20
      ,14,15,20
      ,34,22,11,14
      ,16,28,23
      ,33,26,31
      ,24,25,21

Iteration 30
      ,15,16,13
      ,33,24,11,16
      ,15,26,27
      ,36,25,32
      ,23,28,14

Iteration 40
      ,15,16,13
      ,33,24,11,16
      ,15,26,27
      ,36,25,32
      ,23,28,14

-------------------------Independent Run 3-------------------------
Iteration 0
      ,30,32,10
      ,13,23,21,36
      ,25,22,22
      ,29,27,15
      ,32,32,38

Iteration 10
      ,10,40,18
      ,20,21,10,10
      ,27,22,10
      ,10,40,10
      ,10,10,10

Iteration 20
      ,10,40,18
      ,20,21,10,10
      ,27,22,10
      ,10,40,10
      ,10,10,10

Iteration 30
      ,10,40,18
      ,20,21,10,10
      ,27,22,10
      ,10,40,10
      ,10,10,10

Iteration 40
      ,10,40,10
      ,14,22,10,10
      ,28,16,10
      ,10,40,10
      ,10,10,10

-------------------------Independent Run 4-------------------------
Iteration 0
      ,36,38,26
      ,27,12,18,39
      ,37,10,24
      ,24,30,13
      ,24,21,16

Iteration 10
      ,40,25,26
      ,16,10,40,21
      ,28,19,16
      ,16,34,40
      ,40,10,23

Iteration 20
      ,40,25,28
      ,15,10,40,22
      ,28,19,17
      ,16,35,40
      ,40,10,24

Iteration 30
      ,40,25,28
      ,15,10,40,22
      ,28,19,17
      ,16,35,40
      ,40,10,24

Iteration 40
      ,40,25,28
      ,15,10,40,22
      ,28,19,17
      ,16,35,40
      ,40,10,24

-------------------------Independent Run 5-------------------------
Iteration 0
      ,30,34,10
      ,34,24,25,28
      ,18,39,11
      ,18,21,27
      ,22,13,11

Iteration 10
      ,10,10,21
      ,32,10,31,27
      ,25,10,40
      ,18,39,15
      ,33,40,40

Iteration 20
      ,10,10,25
      ,27,10,34,23
      ,29,10,40
      ,18,38,18
      ,29,40,40

Iteration 30
      ,10,10,25
      ,27,10,34,23
      ,29,10,40
      ,18,38,18
      ,29,40,40

Iteration 40
      ,10,10,25
      ,27,10,34,23
      ,29,10,40
      ,18,38,18
      ,29,40,40

