-------------------------Independent Run 1-------------------------
Iteration 0
      ,29,26,12
      ,10,35,32,35
      ,26,34,19
      ,23,33,13
      ,19,13,23

Iteration 10
      ,10,40,40
      ,40,10,29,10
      ,10,10,34
      ,40,10,40
      ,40,40,40

Iteration 20
      ,10,40,40
      ,40,10,26,10
      ,12,10,30
      ,40,10,40
      ,40,40,40

Iteration 30
      ,10,40,40
      ,40,10,26,10
      ,11,10,24
      ,40,10,40
      ,40,40,40

Iteration 40
      ,10,40,40
      ,40,10,26,10
      ,13,10,24
      ,40,10,40
      ,40,40,40

-------------------------Independent Run 2-------------------------
Iteration 0
      ,12,10,35
      ,34,21,12,18
      ,23,26,24
      ,28,28,28
      ,25,23,38

Iteration 10
      ,11,10,35
      ,34,10,28,18
      ,26,11,24
      ,33,40,38
      ,14,23,40

Iteration 20
      ,15,10,31
      ,33,10,31,10
      ,20,15,25
      ,34,40,40
      ,18,29,40

Iteration 30
      ,10,10,28
      ,39,10,28,10
      ,20,10,26
      ,38,40,40
      ,19,32,40

Iteration 40
      ,10,10,29
      ,37,10,29,10
      ,19,10,25
      ,39,40,40
      ,18,34,40

-------------------------Independent Run 3-------------------------
Iteration 0
      ,30,32,10
      ,13,23,21,36
      ,25,22,22
      ,29,27,15
      ,32,32,38

Iteration 10
      ,22,32,33
      ,28,11,31,18
      ,31,38,21
      ,34,35,20
      ,38,19,17

Iteration 20
      ,16,37,29
      ,28,10,33,10
      ,32,37,20
      ,31,33,22
      ,40,10,20

Iteration 30
      ,18,35,32
      ,30,10,35,12
      ,32,38,20
      ,33,34,23
      ,40,11,20

Iteration 40
      ,18,36,32
      ,33,10,32,13
      ,30,38,22
      ,32,33,22
      ,40,11,22

-------------------------Independent Run 4-------------------------
Iteration 0
      ,36,38,26
      ,27,12,18,39
      ,37,10,24
      ,24,30,13
      ,24,21,16

Iteration 10
      ,40,10,23
      ,20,10,40,10
      ,27,34,13
      ,10,40,40
      ,39,10,23

Iteration 20
      ,40,10,27
      ,30,10,40,10
      ,15,30,17
      ,10,40,40
      ,40,10,23

Iteration 30
      ,40,10,25
      ,30,10,40,10
      ,15,30,17
      ,10,40,40
      ,40,10,23

Iteration 40
      ,40,10,27
      ,30,10,40,10
      ,14,30,16
      ,10,40,40
      ,40,10,21

-------------------------Independent Run 5-------------------------
Iteration 0
      ,30,34,10
      ,34,24,25,28
      ,18,39,11
      ,18,21,27
      ,22,13,11

Iteration 10
      ,24,24,26
      ,16,14,29,10
      ,38,32,37
      ,27,30,36
      ,30,15,27

Iteration 20
      ,15,12,33
      ,17,10,30,10
      ,40,40,40
      ,28,27,37
      ,23,15,34

Iteration 30
      ,10,10,40
      ,17,12,28,10
      ,38,39,40
      ,31,23,39
      ,19,15,39

Iteration 40
      ,10,10,40
      ,23,10,23,10
      ,40,39,40
      ,28,23,40
      ,16,10,40

