Iteration	Metric	Mean	Std
0	fitness	0.9741677472959823	0.24329155338084094
0	global_fitness	0.6679112399832574	N/A
0	arrived_vehicles	307.8	26.712543869875066
0	non_arrived_vehicles	75.3	19.360010330575754
0	total_trip_time	34315.8	3077.5321866716517
0	total_wait_time	17486.0	1782.036307149773
1	fitness	1.2817362564184829	0.43366213575316886
1	global_fitness	0.6679112399832574	N/A
1	arrived_vehicles	281.0	30.643106892089126
1	non_arrived_vehicles	98.9	25.618157623061034
1	total_trip_time	30701.3	2826.8773956434684
1	total_wait_time	15569.2	1515.866603629752
2	fitness	0.7889800892574483	0.15764134572640245
2	global_fitness	0.5855055630029475	N/A
2	arrived_vehicles	319.5	22.254213084267885
2	non_arrived_vehicles	62.3	15.27121475194426
2	total_trip_time	32541.7	2766.003544827808
2	total_wait_time	15355.6	1538.9786353292889
3	fitness	0.7883652754265548	0.14460196177747017
3	global_fitness	0.5855055630029475	N/A
3	arrived_vehicles	317.7	17.43014629886967
3	non_arrived_vehicles	62.9	12.660568707605517
3	total_trip_time	32008.0	2013.238485624592
3	total_wait_time	15102.8	1498.3803789425438
4	fitness	0.6678689634802938	0.08336668877100797
4	global_fitness	0.5398733389701409	N/A
4	arrived_vehicles	338.1	12.421352583354198
4	non_arrived_vehicles	51.2	10.428806259586953
4	total_trip_time	34421.0	1460.062258946515
4	total_wait_time	16005.4	829.0666076980787
5	fitness	0.6397036239433234	0.031379808842986114
5	global_fitness	0.5398733389701409	N/A
5	arrived_vehicles	339.4	4.737087712930804
5	non_arrived_vehicles	46.6	4.1036569057366385
5	total_trip_time	34444.3	1282.983090301661
5	total_wait_time	16108.1	1027.3217071589602
6	fitness	0.6171059502485824	0.041232534648182134
6	global_fitness	0.5160580179057426	N/A
6	arrived_vehicles	345.6	8.534635317340747
6	non_arrived_vehicles	46.0	5.761944116355173
6	total_trip_time	34775.8	1749.9534736672288
6	total_wait_time	16009.3	1326.458521778951
7	fitness	0.6264650548320914	0.15307707629007508
7	global_fitness	0.5078432666768066	N/A
7	arrived_vehicles	341.1	21.7046078057172
7	non_arrived_vehicles	45.9	15.469001260585637
7	total_trip_time	33417.3	2192.0988595407825
7	total_wait_time	14947.0	966.4609666199665
8	fitness	0.5643879528215947	0.03465679651850794
8	global_fitness	0.5078432666768066	N/A
8	arrived_vehicles	348.8	7.386474125047755
8	non_arrived_vehicles	38.8	4.166533331199931
8	total_trip_time	34211.3	1048.826301157632
8	total_wait_time	15109.6	691.4832174391508
9	fitness	0.5825492339406815	0.046548652705734016
9	global_fitness	0.5078432666768066	N/A
9	arrived_vehicles	346.2	9.19565114605812
9	non_arrived_vehicles	41.4	7.592101158440923
9	total_trip_time	33957.9	1681.353886009724
9	total_wait_time	15136.2	1065.7549249241122
10	fitness	0.5550810709971052	0.03291326177374885
10	global_fitness	0.5078432666768066	N/A
10	arrived_vehicles	350.1	6.139218191268331
10	non_arrived_vehicles	36.4	4.608687448721165
10	total_trip_time	34598.7	1090.4754054998214
10	total_wait_time	15308.9	662.6796284781962
11	fitness	0.5470182337035091	0.017107450571317975
11	global_fitness	0.5078432666768066	N/A
11	arrived_vehicles	350.7	4.733920151417849
11	non_arrived_vehicles	36.3	3.925557285278104
11	total_trip_time	34217.6	1114.9035115201673
11	total_wait_time	15046.3	710.2270130035889
12	fitness	0.5383568047188111	0.03140391903245219
12	global_fitness	0.4782215394900859	N/A
12	arrived_vehicles	354.1	4.928488612140643
12	non_arrived_vehicles	35.4	4.608687448721165
12	total_trip_time	34653.5	1507.4922387859913
12	total_wait_time	15284.2	1141.4971572456936
13	fitness	0.5473133499649938	0.036236756037796136
13	global_fitness	0.4782215394900859	N/A
13	arrived_vehicles	353.4	5.388877434122992
13	non_arrived_vehicles	35.1	4.968903299521938
13	total_trip_time	35158.9	624.2557889198946
13	total_wait_time	15723.9	471.622189893563
14	fitness	0.5214223322737731	0.029201296848803408
14	global_fitness	0.4782215394900859	N/A
14	arrived_vehicles	352.3	7.280796659706959
14	non_arrived_vehicles	33.7	5.197114584074513
14	total_trip_time	33601.7	1561.7679757249475
14	total_wait_time	14325.0	998.8034841749402
15	fitness	0.518152494929352	0.024427744235088946
15	global_fitness	0.47286533887331295	N/A
15	arrived_vehicles	353.3	3.716180835212409
15	non_arrived_vehicles	34.2	3.340658617698013
15	total_trip_time	33451.3	1168.9416623595894
15	total_wait_time	14253.5	975.9635495242637
16	fitness	0.5207477626807353	0.013348109576146103
16	global_fitness	0.47286533887331295	N/A
16	arrived_vehicles	354.2	3.57211421989835
16	non_arrived_vehicles	33.0	3.7416573867739413
16	total_trip_time	34213.6	1406.2272362601998
16	total_wait_time	14769.1	1057.1179167907428
17	fitness	0.5264781761584986	0.041736537049257554
17	global_fitness	0.46588406425846296	N/A
17	arrived_vehicles	349.8	6.599999999999999
17	non_arrived_vehicles	38.2	6.584831053261731
17	total_trip_time	32072.9	792.6644245833163
17	total_wait_time	13239.2	530.8149960202707
18	fitness	0.5174631288245217	0.06253622530631031
18	global_fitness	0.46588406425846296	N/A
18	arrived_vehicles	354.3	5.404627646748664
18	non_arrived_vehicles	36.2	7.30479294709987
18	total_trip_time	33044.8	1385.2502878541482
18	total_wait_time	13784.8	1306.7687477132288
19	fitness	0.5010740720839901	0.04255744153674249
19	global_fitness	0.46101969126808906	N/A
19	arrived_vehicles	356.4	9.38296328459192
19	non_arrived_vehicles	34.3	6.277738446287803
19	total_trip_time	32896.2	1229.9588448399402
19	total_wait_time	13533.1	651.3568069806288
20	fitness	0.5151182915314214	0.03983333777880013
