-------------------------Independent Run 1-------------------------
Iteration 0
      ,19,19,36
      ,26,29,24,36
      ,20,10,21
      ,24,25,21
      ,35,25,22

Iteration 10
      ,10,17,14
      ,40,13,33,17
      ,10,26,14
      ,40,11,10
      ,34,10,40

Iteration 20
      ,10,14,19
      ,40,14,40,15
      ,10,28,12
      ,35,10,12
      ,32,10,40

Iteration 30
      ,10,17,21
      ,40,13,40,17
      ,10,32,11
      ,40,10,14
      ,33,10,40

Iteration 40
      ,10,13,19
      ,40,12,34,12
      ,10,29,17
      ,35,10,15
      ,31,10,40

-------------------------Independent Run 2-------------------------
Iteration 0
      ,11,31,38
      ,36,14,11,29
      ,13,39,25
      ,28,19,23
      ,36,14,10

Iteration 10
      ,40,10,22
      ,40,19,40,15
      ,14,32,16
      ,26,10,16
      ,10,33,40

Iteration 20
      ,40,10,21
      ,40,14,40,18
      ,12,36,22
      ,23,10,18
      ,10,28,40

Iteration 30
      ,40,10,20
      ,40,13,40,14
      ,10,30,26
      ,24,10,15
      ,10,28,40

Iteration 40
      ,40,10,24
      ,40,10,40,12
      ,10,28,25
      ,23,10,14
      ,10,28,40

-------------------------Independent Run 3-------------------------
Iteration 0
      ,17,34,20
      ,16,38,26,22
      ,10,34,16
      ,29,26,23
      ,32,21,16

Iteration 10
      ,40,10,16
      ,40,10,35,11
      ,40,10,40
      ,17,40,19
      ,10,10,40

Iteration 20
      ,40,10,22
      ,40,10,31,10
      ,40,10,40
      ,22,40,24
      ,10,10,40

Iteration 30
      ,40,10,23
      ,40,10,28,10
      ,40,10,40
      ,23,40,32
      ,10,10,40

Iteration 40
      ,40,10,19
      ,40,10,25,10
      ,40,10,40
      ,24,40,33
      ,10,10,40

-------------------------Independent Run 4-------------------------
Iteration 0
      ,36,30,21
      ,32,34,20,10
      ,11,36,22
      ,35,31,36
      ,27,27,29

Iteration 10
      ,29,15,30
      ,21,25,38,10
      ,19,34,27
      ,32,10,27
      ,13,28,20

Iteration 20
      ,15,15,25
      ,27,11,24,10
      ,37,35,29
      ,31,10,40
      ,10,17,36

Iteration 30
      ,13,13,28
      ,28,10,21,10
      ,39,30,23
      ,36,10,40
      ,10,10,39

Iteration 40
      ,15,16,24
      ,27,10,23,10
      ,40,32,24
      ,31,10,40
      ,10,13,35

-------------------------Independent Run 5-------------------------
Iteration 0
      ,36,38,39
      ,29,10,12,36
      ,34,24,21
      ,19,20,23
      ,38,38,15

Iteration 10
      ,10,20,26
      ,40,15,24,10
      ,10,10,29
      ,40,40,18
      ,28,10,40

Iteration 20
      ,10,19,17
      ,40,12,23,10
      ,10,10,29
      ,40,40,18
      ,23,10,40

Iteration 30
      ,10,16,23
      ,40,10,28,10
      ,10,10,26
      ,40,40,20
      ,23,10,40

Iteration 40
      ,10,13,26
      ,40,10,27,10
      ,10,10,26
      ,40,40,23
      ,24,10,40

